pride_national,pride_religious,strongleader,limitedelections,erdoganmission,erdoganinspiring,akpstate,akpmuslims,trust_religiousauthority,trust_presidentialsystem,success_erdogan,success_economyminister,policy_povertyreduction,policy_economy,policy_internalsecurity,ci_lifequality,ri_system_1,regimevoter
60,64,40,40,40,40,40,60,20,40,40,60,20,20,60,20,1,0
100,20,20,20,20,20,20,20,20,20,20,40,20,20,60,20,1,0
80,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,100,40,100,100,100,80,60,100,80,60,80,80,100,60,5,1
60,80,80,60,100,100,100,80,40,100,100,60,60,60,80,60,5,1
80,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,5,1
100,100,100,100,100,100,20,100,100,80,100,80,60,60,80,80,5,1
100,100,100,100,100,100,100,100,100,100,100,100,100,92,96,100,5,1
100,100,100,100,100,100,100,100,100,100,80,96,100,100,100,100,5,1
100,100,100,100,100,100,80,80,100,100,100,60,80,80,100,60,5,1
100,20,20,48,40,40,80,20,40,20,60,28,20,40,60,40,2,0
40,100,100,76,100,100,100,100,60,80,80,60,60,60,100,60,5,1
20,20,20,20,20,20,20,20,20,20,20,40,20,20,40,20,1,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,1
100,100,80,60,100,100,100,60,60,100,100,80,80,80,80,80,5,1
100,100,20,20,100,100,80,100,80,80,100,80,80,80,80,80,5,1
40,40,20,40,60,40,20,80,40,40,40,52,20,40,80,60,2,1
80,100,100,100,80,80,80,60,100,100,100,80,60,80,100,40,3,1
40,40,100,100,100,100,100,100,100,100,80,80,100,100,100,100,3,1
100,100,20,100,40,20,20,20,20,60,60,20,20,60,100,20,3,1
100,60,20,100,20,20,20,20,20,20,20,20,20,20,20,40,2,0
40,20,20,20,20,40,20,20,20,20,20,20,20,20,40,20,1,0
20,20,20,20,20,28,20,40,20,20,20,20,20,20,20,20,1,0
40,60,60,20,20,20,20,20,20,20,20,20,20,40,40,20,1,0
100,100,40,40,100,100,80,100,80,100,80,60,80,80,100,60,4,1
100,100,48,64,100,100,20,80,76,20,88,60,40,60,100,60,3,0
100,100,60,80,100,80,80,100,100,100,80,80,80,84,92,80,4,1
100,100,100,100,20,100,100,100,100,100,100,100,100,100,100,100,5,1
100,100,100,100,100,100,100,100,88,68,80,64,60,64,100,40,5,0
60,40,20,20,36,40,60,40,20,20,20,20,60,20,60,40,2,0
20,40,20,20,20,20,20,20,20,20,20,20,24,20,24,40,1,0
100,100,96,92,100,100,100,100,96,100,100,60,88,100,100,60,5,1
56,20,20,40,20,40,20,20,28,40,60,40,60,40,80,20,2,0
60,100,44,76,80,80,80,100,76,76,80,72,40,80,100,40,4,1
80,100,80,80,100,100,80,60,84,96,84,80,60,64,80,100,4,1
80,80,20,20,20,20,20,20,40,20,20,20,40,40,40,40,1,0
100,100,100,100,100,100,96,80,100,100,88,80,60,80,60,80,4,1
60,100,60,60,100,100,100,100,60,100,100,100,60,68,60,60,3,1
20,60,20,20,20,20,20,40,20,28,20,20,20,20,20,20,1,0
100,100,40,80,20,20,20,20,28,20,20,20,20,20,80,40,1,0
100,100,60,84,100,100,92,100,96,100,96,80,60,56,88,60,4.6,0
40,40,20,20,20,20,60,20,20,20,20,40,20,20,40,20,2,0
100,100,100,60,100,100,100,100,60,100,100,100,60,80,100,100,5,0
60,40,20,20,100,20,20,20,20,20,40,40,40,24,44,20,1,0
40,20,48,64,52,100,72,56,48,48,60,20,40,36,36,40,2.6,NA
100,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
40,52,20,20,20,20,20,20,20,20,20,20,20,20,40,20,1,0
60,80,100,60,80,80,80,80,68,80,80,60,80,80,100,60,5,1
20,20,20,20,44,20,20,20,32,20,20,40,20,20,60,40,1,0
100,20,20,20,20,20,20,20,20,20,28,20,20,20,20,40,1,0
80,100,80,84,100,100,100,100,100,100,100,100,100,80,80,100,5,1
80,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,100,100,100,100,40,100,100,100,100,100,80,80,100,80,5,1
20,52,24,20,40,20,20,20,20,40,40,24,20,20,40,20,2,0
80,84,80,20,40,20,20,28,20,20,20,40,20,20,20,60,1,0
100,100,100,100,100,100,100,80,96,100,100,100,100,92,92,40,5,1
100,60,20,20,20,20,20,20,20,20,20,20,20,20,20,40,1,1
20,20,20,20,20,20,20,20,20,20,40,24,60,60,40,40,1,0
20,20,20,20,40,20,20,20,40,40,20,40,20,20,20,20,1,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
64,56,20,60,36,20,20,40,20,32,40,20,60,20,60,20,1,0
100,96,20,80,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,60,60,40,20,100,20,80,60,20,20,40,100,100,60,1,1
100,100,20,24,100,20,20,20,40,20,20,20,40,20,20,40,1,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,80,80,100,80,20,80,100,100,80,80,80,80,100,80,4,1
60,100,80,88,100,100,100,80,80,80,88,80,80,80,80,60,4,1
60,20,20,20,20,20,20,20,20,20,20,40,20,20,20,40,1,0
20,40,80,20,40,40,60,20,20,40,40,28,40,20,100,20,2,0
60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
60,60,100,40,100,100,80,100,56,72,80,60,60,64,64,40,5,1
100,100,80,40,100,100,100,100,80,100,100,60,100,60,100,60,5,1
100,100,80,88,100,100,100,100,100,100,100,60,96,100,100,80,5,1
100,100,80,80,100,100,20,80,100,80,80,60,80,60,80,60,5,1
20,80,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
20,20,20,28,40,20,20,20,20,20,24,20,20,20,20,20,1.4,0
100,100,80,88,100,100,96,100,100,60,100,60,20,100,100,60,5,1
100,100,60,72,100,100,100,80,100,100,100,100,80,80,80,80,5,1
80,100,24,24,40,40,20,20,60,40,40,20,24,20,48,20,2,1
100,100,20,20,100,20,20,20,32,20,32,28,40,24,52,40,2,0
100,100,24,100,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,40,40,20,40,20,24,36,24,40,60,40,40,40,20,1,0
100,100,100,80,80,100,60,60,80,80,80,100,80,60,92,80,4,1
60,60,20,20,20,20,20,20,20,20,40,20,20,20,20,20,1,0
20,40,20,28,52,20,20,36,20,20,20,20,20,20,24,20,1,0
60,92,100,80,80,100,100,100,96,100,96,80,76,72,80,80,5,1
80,100,100,100,60,20,20,20,20,40,40,20,20,20,60,20,3,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,20,20,40,20,20,20,20,20,20,20,20,20,20,20,20,1,0
20,40,20,20,20,20,20,20,20,20,20,20,40,40,40,20,1,0
60,60,100,100,84,92,92,76,72,88,40,60,80,100,100,80,4.4,1
80,100,40,100,20,20,20,20,40,60,60,40,20,40,100,60,3,0
60,60,60,60,80,80,100,80,80,80,80,68,80,80,80,60,5,1
100,100,100,100,100,100,80,100,100,100,100,100,60,60,60,100,1,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
20,20,20,20,100,20,20,40,20,20,20,40,20,20,60,20,1,0
100,100,100,68,100,100,80,80,100,100,100,80,80,80,100,80,5,1
100,100,100,100,80,80,80,80,100,100,100,100,80,84,96,80,4,1
80,80,40,60,100,80,80,80,80,100,80,80,80,80,80,80,5,1
20,48,40,40,20,20,20,20,20,20,20,20,20,20,20,20,1,0
72,100,44,60,84,80,68,72,64,68,80,68,60,40,80,52,3.4,NA
100,60,20,40,20,20,20,20,40,20,20,60,20,20,60,20,1,1
100,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
20,100,20,100,20,20,20,20,20,20,20,20,20,20,20,40,1,0
100,100,100,100,100,100,100,100,100,100,100,100,80,60,100,100,5,1
20,100,32,20,36,20,20,20,20,20,20,20,20,20,20,20,1,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,1,0
100,100,80,100,100,100,80,80,100,100,80,60,60,60,80,80,5,1
20,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,80,100,100,100,84,100,88,100,88,60,80,80,80,60,3,1
100,100,88,100,100,100,40,40,100,100,100,60,60,60,100,60,5,1
40,36,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
20,100,100,20,100,100,100,100,100,100,100,60,100,100,100,60,5,1
100,100,64,60,20,20,100,20,28,20,20,20,20,20,20,40,1,0
40,60,60,60,80,100,60,60,40,80,80,20,40,20,60,20,4,1
80,100,100,80,100,100,100,80,100,100,100,80,100,80,100,80,5,1
100,100,40,60,60,60,80,40,60,40,60,48,60,40,60,40,1,1
100,100,20,40,80,40,20,20,20,20,20,20,40,40,100,20,1,1
100,100,80,100,60,80,20,20,60,80,60,60,40,40,80,40,3,1
20,24,20,28,20,20,20,20,20,20,24,20,20,20,20,20,1,0
100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,5,1
20,88,20,20,20,20,20,20,40,40,40,40,80,80,60,20,2,0
100,100,20,60,60,60,60,20,40,40,52,20,40,20,100,20,1,1
80,100,100,100,80,100,80,80,60,60,60,96,60,60,100,100,4,1
60,60,20,20,40,40,20,20,40,20,32,20,24,20,40,20,2,0
100,100,100,100,100,100,60,40,100,100,84,80,60,60,100,60,2,1
88,80,100,60,100,100,100,100,80,100,100,60,80,60,60,40,5,1
100,100,20,20,100,60,100,100,100,68,80,80,60,60,100,60,4,1
40,60,40,32,20,20,20,20,28,20,24,20,80,28,40,40,1,0
100,100,44,60,60,20,60,20,60,60,60,20,20,20,60,20,3,1
84,100,20,60,28,20,28,36,60,60,20,20,20,20,20,20,1,0
100,40,20,28,20,20,20,20,20,40,40,32,20,20,60,20,2,0
100,40,20,20,80,20,20,40,20,20,40,20,20,20,60,40,2,0
20,20,20,80,60,20,20,20,20,20,20,20,20,20,40,40,2,0
100,100,100,100,100,100,100,100,100,100,100,92,80,100,100,60,5,1
80,100,80,80,80,80,20,80,100,80,80,60,40,20,80,40,5,1
100,100,20,60,100,20,20,20,20,20,20,20,20,20,20,20,1,0
60,20,20,20,100,20,20,20,20,20,24,20,20,20,20,20,1,0
100,100,20,20,24,20,20,20,60,20,24,20,20,20,40,20,1.2,0
100,100,72,72,100,100,80,100,100,100,100,60,80,80,100,80,5,1
100,100,60,68,40,60,40,20,60,60,60,60,60,60,100,80,4,0
100,100,40,20,60,52,44,40,40,40,56,36,40,40,20,40,1.8,0
40,20,20,60,20,20,20,20,20,20,40,20,20,20,20,20,1,1
40,60,36,32,20,60,40,20,40,20,60,20,40,40,20,40,2,0
100,100,80,80,80,76,60,40,64,20,80,80,40,80,80,40,4,1
100,100,100,80,92,80,76,20,80,76,76,68,64,72,84,40,3.8,0
20,48,20,20,20,20,20,20,20,20,20,20,20,20,20,40,1,0
100,100,100,80,100,100,100,80,100,100,80,80,80,80,60,60,5,1
100,100,100,60,100,100,80,100,100,100,100,80,100,80,100,80,5,1
100,100,40,56,60,60,40,40,60,60,60,20,20,20,80,40,2,1
60,60,36,60,40,20,40,60,40,20,40,40,60,60,40,40,2,0
88,40,100,60,96,80,100,80,48,80,100,72,92,84,84,100,3.2,1
100,100,80,80,100,100,40,100,100,100,100,80,80,80,100,80,5,1
40,20,40,40,40,40,20,20,20,40,40,20,40,80,40,40,1,1
100,100,20,20,20,20,20,20,20,40,24,20,20,40,20,40,1,0
40,40,40,20,40,20,20,60,24,20,20,20,20,20,40,20,1,0
20,48,60,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,84,20,80,40,20,20,20,20,20,60,20,20,20,40,20,1,0
80,80,60,60,40,60,40,40,60,60,60,60,60,60,80,40,2,1
100,100,20,40,20,20,20,20,40,20,20,60,40,40,40,20,1,0
60,20,20,40,20,60,20,20,20,20,60,20,20,20,20,40,2,0
60,60,60,40,60,60,80,60,60,60,80,60,60,60,80,40,3,1
80,100,100,60,80,80,40,40,80,60,80,60,60,60,80,60,4,1
100,100,84,100,96,100,92,100,100,100,100,100,100,100,96,100,4.6,1
100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,80,5,1
100,100,100,100,100,100,100,100,100,100,100,60,88,84,88,80,5,1
100,60,100,100,100,100,100,100,100,100,100,80,80,100,100,60,5,1
60,60,60,60,80,80,60,80,80,76,80,60,80,60,80,40,3,1
100,100,20,52,20,20,20,20,20,20,20,20,20,20,20,20,1,0
80,100,100,60,100,100,100,100,100,100,100,100,80,80,80,40,3,1
100,100,60,60,28,60,20,20,60,20,44,44,20,20,20,100,1,1
100,100,100,60,100,80,80,100,100,100,100,60,60,60,100,80,5,1
100,80,80,80,100,100,80,80,100,100,100,80,80,80,80,64,5,1
100,100,60,60,100,96,80,100,80,80,80,60,80,80,80,60,5,1
100,100,80,100,100,80,80,80,80,80,80,64,80,60,80,80,4,1
80,100,20,20,40,20,20,20,40,40,40,40,20,20,60,20,1,0
100,100,20,32,20,20,20,20,40,36,40,24,20,20,32,20,1,0
100,100,40,80,80,60,80,60,60,100,80,60,40,40,40,40,3,1
60,20,60,60,80,80,80,60,60,80,80,80,60,60,60,60,4,1
100,80,40,40,56,60,20,40,40,20,40,36,40,20,60,60,2,NA
100,60,80,80,100,96,80,60,100,100,80,72,80,72,84,80,5,1
60,20,60,40,20,20,20,20,20,20,20,20,20,20,20,60,1,0
60,100,80,100,100,100,100,100,80,100,80,80,100,100,100,80,5,1
100,100,100,88,100,100,80,100,80,92,100,80,80,84,100,80,5,1
60,76,60,64,68,68,48,52,80,80,72,68,60,60,60,40,3,1
100,100,80,80,60,20,20,80,20,20,60,32,40,20,60,40,1,0
100,100,100,100,100,100,100,80,100,100,100,80,100,80,100,80,5,1
68,96,40,100,100,100,60,100,80,80,100,60,100,60,80,60,3,1
40,100,20,40,60,40,20,60,40,60,60,60,60,52,60,40,3,1
80,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
20,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
60,80,40,44,40,80,40,20,40,60,60,20,20,20,20,40,3,0
60,100,80,80,100,88,80,100,100,80,100,60,80,60,100,40,5,1
60,60,100,84,100,96,76,96,80,80,84,80,80,84,88,100,5,1
80,40,20,20,100,20,20,20,24,24,20,20,20,20,20,20,1,0
100,100,40,40,20,20,20,20,20,20,40,20,20,20,20,20,1,0
20,96,80,88,100,80,80,100,80,80,88,76,80,80,80,60,2,1
100,100,100,100,100,100,100,100,100,100,100,80,80,80,100,80,5,1
100,100,52,80,100,60,60,40,60,60,100,48,20,40,60,40,5,1
60,88,100,92,100,96,100,100,20,60,100,100,100,100,100,100,3,1
100,20,40,100,80,100,100,100,80,80,80,80,60,80,80,40,4,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,1
100,100,80,100,100,100,100,100,100,100,92,80,80,60,60,60,5,1
100,100,100,96,100,100,100,100,100,100,100,80,100,100,100,100,5,1
100,100,100,96,88,100,100,64,100,80,96,100,72,72,80,60,5,1
100,100,96,100,100,100,100,100,100,100,100,92,60,76,88,60,5,1
100,88,68,52,80,88,84,60,60,88,84,60,76,64,84,60,3.8,1
100,80,28,40,20,20,20,20,28,20,36,20,20,20,20,40,1.8,0
100,100,88,100,100,100,100,100,100,100,80,60,60,60,100,60,5,1
100,100,80,40,100,40,100,20,40,60,80,40,40,40,40,20,1,1
20,56,40,40,36,20,20,20,20,20,60,60,40,40,60,20,1,0
100,100,60,60,60,60,60,100,80,80,64,60,60,60,60,40,3.4,1
100,88,80,100,100,100,20,100,60,80,80,40,40,40,80,20,2,1
40,100,20,20,20,20,20,20,40,40,20,20,20,20,20,20,1,0
100,100,100,100,100,100,100,100,100,100,100,80,100,80,100,100,5,1
100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,5,1
100,100,20,40,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,68,40,36,36,24,24,20,36,20,20,32,32,32,52,40,1,0
40,52,20,20,20,20,20,20,20,20,40,20,20,20,60,40,1,0
100,100,100,100,100,100,60,80,80,100,100,80,80,80,60,100,4,1
100,100,20,52,80,60,40,100,40,20,60,36,60,20,40,40,1.6,0
100,100,52,60,80,72,44,40,68,60,76,60,64,64,40,40,4,1
100,80,20,20,20,20,20,20,24,20,20,20,20,20,20,20,1,0
40,100,40,20,40,40,80,100,20,24,20,20,20,20,20,20,2,1
100,100,100,100,100,100,100,100,80,100,100,80,80,80,80,100,5,1
100,96,100,60,92,100,100,100,76,80,92,60,80,60,92,60,4.6,1
80,60,80,80,100,80,100,100,60,80,100,60,60,80,80,80,4,1
100,80,100,60,100,100,100,60,100,100,100,60,100,100,100,40,5,1
100,100,100,60,100,100,100,100,80,100,100,60,80,60,100,60,5,1
20,100,28,60,20,20,20,20,20,20,20,20,20,20,20,40,1,0
100,100,60,60,60,60,80,100,60,60,68,40,20,40,60,40,4,1
60,92,24,24,100,100,100,60,20,52,100,60,20,20,100,20,3,0
100,100,100,88,100,100,100,20,88,84,100,72,60,60,60,60,3,1
100,100,20,60,36,40,28,28,40,60,60,40,24,24,48,20,1.8,NA
100,100,20,40,20,20,20,20,20,20,20,20,20,40,20,20,1,1
100,100,100,100,100,100,100,100,100,100,80,80,60,60,80,60,5,1
80,100,60,60,100,80,60,100,60,60,80,60,60,60,80,60,4,0
100,100,100,80,100,100,92,100,80,80,80,60,60,60,80,80,5,1
